formatted_date,date,close,high,low,open,volume,adjclose,changes
2021-01-02,2021-01-02,33155.0,29091.0,29376.0,32127.0,67865420765,32127.0,neutral
2021-01-03,2021-01-03,34609.0,32052.0,32129.0,32782.0,78665235202,32782.0,positive
2021-01-04,2021-01-04,33440.0,28723.0,32811.0,31972.0,81163475344,31972.0,negative
2021-01-05,2021-01-05,34438.0,30221.0,31977.0,33992.0,67547324782,33992.0,positive
2021-01-06,2021-01-06,36880.0,33514.0,34014.0,36824.0,75289433811,36824.0,positive
2021-01-07,2021-01-07,40180.0,36491.0,36834.0,39371.0,84762141031,39371.0,positive
2021-01-08,2021-01-08,41947.0,36839.0,39382.0,40798.0,88107519480,40798.0,positive
2021-01-09,2021-01-09,41436.0,38981.0,40789.0,40255.0,61984162837,40255.0,negative
2021-01-10,2021-01-10,41420.0,35985.0,40254.0,38356.0,79980747690,38356.0,negative
2021-01-11,2021-01-11,38347.0,30550.0,38347.0,35567.0,123320567399,35567.0,negative
2021-01-12,2021-01-12,36569.0,32698.0,35516.0,33923.0,74773277909,33923.0,negative
2021-01-13,2021-01-13,37600.0,32585.0,33915.0,37316.0,69364315979,37316.0,positive
2021-01-14,2021-01-14,39966.0,36869.0,37325.0,39187.0,63615990033,39187.0,positive
2021-01-15,2021-01-15,39578.0,34660.0,39157.0,36825.0,67760757881,36825.0,negative
2021-01-16,2021-01-16,37864.0,35634.0,36822.0,36178.0,57706187875,36178.0,negative
2021-01-17,2021-01-17,36722.0,34069.0,36164.0,35791.0,52359854336,35791.0,negative
2021-01-18,2021-01-18,37299.0,34884.0,35792.0,36630.0,49511702429,36630.0,positive
2021-01-19,2021-01-19,37756.0,36070.0,36642.0,36070.0,57244195486,36070.0,positive
2021-01-20,2021-01-20,36378.0,33570.0,36050.0,35548.0,66834573161,35548.0,negative
2021-01-21,2021-01-21,35553.0,30251.0,35549.0,30826.0,75643067688,30826.0,negative
2021-01-22,2021-01-22,33812.0,28953.0,30818.0,33006.0,77207272511,33006.0,negative
2021-01-23,2021-01-23,33361.0,31493.0,32986.0,32068.0,48354737975,32068.0,negative
2021-01-24,2021-01-24,32944.0,31107.0,32064.0,32289.0,48643830599,32289.0,negative
2021-01-25,2021-01-25,34803.0,32088.0,32286.0,32366.0,59897054838,32366.0,positive
2021-01-26,2021-01-26,32795.0,31030.0,32359.0,32570.0,60255421470,32570.0,negative
2021-01-27,2021-01-27,32564.0,29367.0,32564.0,30433.0,62576762015,30433.0,negative
2021-01-28,2021-01-28,33858.0,30023.0,30441.0,33466.0,76517157706,33466.0,positive
2021-01-29,2021-01-29,38406.0,32065.0,34319.0,34316.0,117894572511,34316.0,positive
2021-01-30,2021-01-30,34835.0,32940.0,34296.0,34270.0,65141828798,34270.0,negative
2021-01-31,2021-01-31,34288.0,32270.0,34271.0,33114.0,52754542671,33114.0,negative
2021-02-01,2021-02-01,34638.0,32384.0,33115.0,33537.0,61400400660,33537.0,positive
2021-02-02,2021-02-02,35897.0,33489.0,33533.0,35510.0,63088585433,35510.0,positive
