formatted_date,close,high,low,open,volume,adjclose,date,changes
2021-01-02,787.0,718.0,730.0,775.0,19740771179,775.0,2021-01-02,neutral
2021-01-03,1007.0,772.0,775.0,976.0,45200463368,976.0,2021-01-03,positive
2021-01-04,1153.0,912.0,977.0,1040.0,56945985763,1040.0,2021-01-04,positive
2021-01-05,1129.0,987.0,1041.0,1100.0,41535932781,1100.0,2021-01-05,negative
2021-01-06,1209.0,1064.0,1101.0,1207.0,44699914188,1207.0,2021-01-06,positive
2021-01-07,1283.0,1167.0,1208.0,1226.0,40468027280,1226.0,2021-01-07,positive
2021-01-08,1274.0,1076.0,1226.0,1224.0,44334826666,1224.0,2021-01-08,negative
2021-01-09,1304.0,1182.0,1224.0,1281.0,33233105361,1281.0,2021-01-09,positive
2021-01-10,1348.0,1195.0,1281.0,1262.0,40616938053,1262.0,2021-01-10,positive
2021-01-11,1262.0,925.0,1262.0,1090.0,60733630300,1090.0,2021-01-11,negative
2021-01-12,1149.0,1013.0,1089.0,1043.0,37494601692,1043.0,2021-01-12,negative
2021-01-13,1134.0,995.0,1044.0,1131.0,30109792795,1131.0,2021-01-13,negative
2021-01-14,1244.0,1093.0,1130.0,1218.0,33410915929,1218.0,2021-01-14,positive
2021-01-15,1251.0,1091.0,1222.0,1172.0,35972039310,1172.0,2021-01-15,positive
2021-01-16,1290.0,1158.0,1171.0,1234.0,32319240157,1234.0,2021-01-16,positive
2021-01-17,1266.0,1174.0,1233.0,1230.0,29258032819,1230.0,2021-01-17,negative
2021-01-18,1259.0,1187.0,1230.0,1257.0,25817455560,1257.0,2021-01-18,negative
2021-01-19,1432.0,1255.0,1257.0,1377.0,47195935190,1377.0,2021-01-19,positive
2021-01-20,1406.0,1243.0,1375.0,1382.0,46784030909,1382.0,2021-01-20,negative
2021-01-21,1383.0,1098.0,1383.0,1122.0,45932464754,1122.0,2021-01-21,negative
2021-01-22,1272.0,1047.0,1119.0,1237.0,43918338506,1237.0,2021-01-22,negative
2021-01-23,1272.0,1201.0,1235.0,1231.0,27253895441,1231.0,2021-01-23,neutral
2021-01-24,1395.0,1225.0,1231.0,1392.0,36418163554,1392.0,2021-01-24,positive
2021-01-25,1468.0,1305.0,1391.0,1324.0,43565777745,1324.0,2021-01-25,positive
2021-01-26,1376.0,1253.0,1324.0,1357.0,41572917750,1357.0,2021-01-26,negative
2021-01-27,1368.0,1215.0,1358.0,1253.0,39394416990,1253.0,2021-01-27,negative
2021-01-28,1356.0,1226.0,1251.0,1332.0,34637234789,1332.0,2021-01-28,negative
2021-01-29,1429.0,1292.0,1369.0,1383.0,53611955259,1383.0,2021-01-29,positive
2021-01-30,1402.0,1329.0,1382.0,1376.0,30616574234,1376.0,2021-01-30,negative
2021-01-31,1379.0,1289.0,1377.0,1315.0,25198853581,1315.0,2021-01-31,negative
2021-02-01,1374.0,1274.0,1315.0,1369.0,29210670920,1369.0,2021-02-01,negative
2021-02-02,1543.0,1363.0,1370.0,1515.0,45437142801,1515.0,2021-02-02,positive
2021-02-03,1661.0,1510.0,1515.0,1661.0,41874566399,1661.0,2021-02-03,positive
2021-02-04,1689.0,1562.0,1661.0,1595.0,44396871836,1595.0,2021-02-04,positive
2021-02-05,1757.0,1595.0,1595.0,1719.0,40108628454,1719.0,2021-02-05,positive
2021-02-06,1738.0,1649.0,1718.0,1678.0,39873420648,1678.0,2021-02-06,negative
2021-02-07,1690.0,1502.0,1678.0,1614.0,39889440151,1614.0,2021-02-07,negative
2021-02-08,1771.0,1572.0,1614.0,1747.0,48012285956,1747.0,2021-02-08,positive
2021-02-09,1816.0,1712.0,1747.0,1768.0,44180727529,1768.0,2021-02-09,positive
2021-02-10,1827.0,1687.0,1768.0,1744.0,41916084617,1744.0,2021-02-10,positive
2021-02-11,1807.0,1709.0,1744.0,1784.0,36021495262,1784.0,2021-02-11,negative
2021-02-12,1861.0,1744.0,1783.0,1844.0,37905036865,1844.0,2021-02-12,positive
2021-02-13,1872.0,1771.0,1844.0,1814.0,35359490535,1814.0,2021-02-13,positive
2021-02-14,1848.0,1790.0,1814.0,1805.0,31439114900,1805.0,2021-02-14,negative
